x,y,ID,MIN_TEMPERATURE_FLAG,MAX_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE,TOTAL_RAIN,TOTAL_SNOW,DIRECTION_MAX_GUST,SNOW_ON_GROUND,HEATING_DEGREE_DAYS,LOCAL_DAY,PROVINCE_CODE,MAX_REL_HUMIDITY,TOTAL_RAIN_FLAG,MAX_TEMPERATURE,COOLING_DEGREE_DAYS,TOTAL_PRECIPITATION_FLAG,CLIMATE_IDENTIFIER,MIN_TEMPERATURE,STATION_NAME,LOCAL_DATE,TOTAL_SNOW_FLAG,COOLING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST_FLAG,LOCAL_YEAR,SNOW_ON_GROUND_FLAG,MIN_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,SPEED_MAX_GUST,HEATING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE_FLAG,LOCAL_MONTH,TOTAL_PRECIPITATION
-79.4,43.666666666666664,6158355.2002.6.4,,,11.6,,,,,6.4,4,ON,,M,14.1,0,,6158355,9.1,TORONTO CITY,2002-06-04 00:00:00,M,,M,M,2002,,,,,,,,6,4.8
-79.4,43.666666666666664,6158355.2002.6.5,,,17.4,,,,,0.6,5,ON,,M,23.5,0,,6158355,11.3,TORONTO CITY,2002-06-05 00:00:00,M,,M,M,2002,,,,,,,,6,3.4
-79.4,43.666666666666664,6158355.2002.6.6,,,15.3,,,,,2.7,6,ON,,M,17.8,0,,6158355,12.8,TORONTO CITY,2002-06-06 00:00:00,M,,M,M,2002,,,,,,,,6,0
-79.4,43.666666666666664,6158355.2002.6.7,,,16.2,,,,,1.8,7,ON,,M,21.4,0,,6158355,11,TORONTO CITY,2002-06-07 00:00:00,M,,M,M,2002,,,,,,,,6,0
-79.4,43.666666666666664,6158355.2002.6.8,,,18.3,,,,,0,8,ON,,M,24.9,0.3,,6158355,11.7,TORONTO CITY,2002-06-08 00:00:00,M,,M,M,2002,,,,,,,,6,0
-79.4,43.666666666666664,6158355.2002.6.9,,,23.2,,,,,0,9,ON,,M,28.4,5.2,,6158355,17.9,TORONTO CITY,2002-06-09 00:00:00,M,,M,M,2002,,,,,,,,6,0
-79.4,43.666666666666664,6158355.2002.6.10,,,19.4,,,,,0,10,ON,,M,22.4,1.4,,6158355,16.3,TORONTO CITY,2002-06-10 00:00:00,M,,M,M,2002,,,,,,,,6,0
-79.4,43.666666666666664,6158355.2002.6.11,,,23.4,,,,,0,11,ON,,M,31.2,5.4,,6158355,15.6,TORONTO CITY,2002-06-11 00:00:00,M,,M,M,2002,,,,,,,,6,2.2
-79.4,43.666666666666664,6158355.2002.6.12,,,18.6,,,,,0,12,ON,,M,22.4,0.6,,6158355,14.7,TORONTO CITY,2002-06-12 00:00:00,M,,M,M,2002,,,,,,,,6,0.4
-79.4,43.666666666666664,6158355.2002.6.13,,,19.2,,,,,0,13,ON,,M,23.3,1.2,,6158355,15,TORONTO CITY,2002-06-13 00:00:00,M,,M,M,2002,,,,,,,,6,0.2
-79.4,43.666666666666664,6158355.2002.6.14,,,16.9,,,,,1.1,14,ON,,M,19.6,0,,6158355,14.1,TORONTO CITY,2002-06-14 00:00:00,M,,M,M,2002,,,,,,,,6,3.8
-79.4,43.666666666666664,6158355.2002.6.15,,,17.1,,,,,0.9,15,ON,,M,19.8,0,,6158355,14.4,TORONTO CITY,2002-06-15 00:00:00,M,,M,M,2002,,,,,,,,6,8.8
-79.4,43.666666666666664,6158355.2002.6.16,,,16.3,,,,,1.7,16,ON,,M,19.1,0,,6158355,13.5,TORONTO CITY,2002-06-16 00:00:00,M,,M,M,2002,,,,,,,,6,3.2
