﻿Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
 ID,PARAM,Date,Value,SYM
02HC027,1,1966/07/04,0.357,
02HC027,1,1966/07/05,0.249,
02HC027,1,1966/07/06,0.275,
02HC027,1,1966/07/07,0.337,
02HC027,1,1966/07/08,0.252,
02HC027,1,1966/07/09,0.232,
02HC027,1,1966/07/10,0.198,
02HC027,1,1966/07/11,1.50,
02HC027,1,1966/07/12,0.207,
02HC027,1,1966/07/13,0.207,
02HC027,1,1966/07/14,0.198,
02HC027,1,1966/07/15,0.176,
02HC027,1,1966/07/16,0.176,
02HC027,1,1966/07/17,0.153,
02HC027,1,1966/07/18,0.181,
02HC027,1,1966/07/19,0.221,
02HC027,1,1966/07/20,0.224,
02HC027,1,1966/07/21,0.210,
02HC027,1,1966/07/22,0.201,
02HC027,1,1966/07/23,0.198,
02HC027,1,1966/07/24,0.167,
02HC027,1,1966/07/25,0.181,
02HC027,1,1966/07/26,0.139,
02HC027,1,1966/07/27,0.130,
02HC027,1,1966/07/28,0.631,
02HC027,1,1966/07/29,0.238,
02HC027,1,1966/07/30,0.184,
02HC027,1,1966/07/31,0.187,
02HC027,1,1966/08/01,0.193,
02HC027,1,1966/08/02,0.561,
02HC027,1,1966/08/03,0.311,
02HC027,1,1966/08/04,0.232,
02HC027,1,1966/08/05,0.229,
02HC027,1,1966/08/06,0.289,
02HC027,1,1966/08/07,0.229,
02HC027,1,1966/08/08,0.249,
02HC027,1,1966/08/09,0.300,
02HC027,1,1966/08/10,0.411,
02HC027,1,1966/08/11,0.810,
02HC027,1,1966/08/12,0.311,
02HC027,1,1966/08/13,0.164,
02HC027,1,1966/08/14,0.127,
02HC027,1,1966/08/15,0.133,
02HC027,1,1966/08/16,0.232,
02HC027,1,1966/08/17,0.187,
02HC027,1,1966/08/18,0.139,
02HC027,1,1966/08/19,0.150,
02HC027,1,1966/08/20,0.153,
02HC027,1,1966/08/21,0.147,
02HC027,1,1966/08/22,0.311,
02HC027,1,1966/08/23,0.371,
02HC027,1,1966/08/24,0.116,
02HC027,1,1966/08/25,0.051,
02HC027,1,1966/08/26,0.042,
02HC027,1,1966/08/27,0.059,
02HC027,1,1966/08/28,0.079,
02HC027,1,1966/08/29,0.116,
02HC027,1,1966/08/30,0.184,
02HC027,1,1966/08/31,0.187,
02HC027,1,1966/09/01,0.167,
02HC027,1,1966/09/02,0.181,
02HC027,1,1966/09/03,0.343,
02HC027,1,1966/09/04,0.425,
02HC027,1,1966/09/05,0.221,
02HC027,1,1966/09/06,0.159,
02HC027,1,1966/09/07,0.144,
02HC027,1,1966/09/08,0.144,
02HC027,1,1966/09/09,0.167,
02HC027,1,1966/09/10,0.181,
02HC027,1,1966/09/11,0.159,
02HC027,1,1966/09/12,0.159,
02HC027,1,1966/09/13,0.184,
02HC027,1,1966/09/14,0.193,
02HC027,1,1966/09/15,0.784,
02HC027,1,1966/09/16,0.258,
02HC027,1,1966/09/17,0.232,
02HC027,1,1966/09/18,0.210,
02HC027,1,1966/09/19,0.244,
02HC027,1,1966/09/20,0.252,
02HC027,1,1966/09/21,0.617,
02HC027,1,1966/09/22,1.15,
02HC027,1,1966/09/23,0.515,
02HC027,1,1966/09/24,0.269,
02HC027,1,1966/09/25,0.221,
02HC027,1,1966/09/26,0.221,
02HC027,1,1966/09/27,0.249,
02HC027,1,1966/09/28,0.252,
02HC027,1,1966/09/29,0.411,
02HC027,1,1966/09/30,0.487,
02HC027,1,1966/10/01,0.258,
02HC027,1,1966/10/02,0.252,
02HC027,1,1966/10/03,0.221,
02HC027,1,1966/10/04,0.394,
02HC027,1,1966/10/05,0.269,
02HC027,1,1966/10/06,0.258,
02HC027,1,1966/10/07,0.258,
02HC027,1,1966/10/08,0.244,
02HC027,1,1966/10/09,0.207,
02HC027,1,1966/10/10,0.337,
02HC027,1,1966/10/11,0.278,
02HC027,1,1966/10/12,0.294,
02HC027,1,1966/10/13,0.278,
02HC027,1,1966/10/14,0.275,
02HC027,1,1966/10/15,0.343,
02HC027,1,1966/10/16,0.487,
02HC027,1,1966/10/17,0.238,
02HC027,1,1966/10/18,0.258,
02HC027,1,1966/10/19,0.306,
02HC027,1,1966/10/20,0.300,
02HC027,1,1966/10/21,0.258,
02HC027,1,1966/10/22,0.238,
02HC027,1,1966/10/23,0.207,
02HC027,1,1966/10/24,0.210,
02HC027,1,1966/10/25,0.269,
02HC027,1,1966/10/26,0.269,
02HC027,1,1966/10/27,0.269,
02HC027,1,1966/10/28,0.278,
02HC027,1,1966/10/29,0.263,
02HC027,1,1966/10/30,0.221,
02HC027,1,1966/10/31,0.238,
02HC027,1,1966/11/01,0.306,
02HC027,1,1966/11/02,0.221,
02HC027,1,1966/11/03,0.765,E
02HC027,1,1966/11/04,0.331,E
02HC027,1,1966/11/05,0.244,E
02HC027,1,1966/11/06,0.210,E
02HC027,1,1966/11/07,0.263,E
02HC027,1,1966/11/08,0.603,E
02HC027,1,1966/11/09,1.12,E
02HC027,1,1966/11/10,2.04,E
02HC027,1,1966/11/11,0.637,E
02HC027,1,1966/11/12,0.382,E
02HC027,1,1966/11/13,0.280,E
02HC027,1,1966/11/14,0.232,E
02HC027,1,1966/11/15,0.280,E
02HC027,1,1966/11/16,0.263,E
02HC027,1,1966/11/17,0.272,E
02HC027,1,1966/11/18,0.258,E
02HC027,1,1966/11/19,0.227,E
02HC027,1,1966/11/20,0.178,E
02HC027,1,1966/11/21,0.170,E
02HC027,1,1966/11/22,0.212,E
02HC027,1,1966/11/23,0.221,E
02HC027,1,1966/11/24,0.280,E
02HC027,1,1966/11/25,0.680,E
02HC027,1,1966/11/26,0.334,E
02HC027,1,1966/11/27,0.396,E
02HC027,1,1966/11/28,1.16,E
02HC027,1,1966/11/29,2.41,E
02HC027,1,1966/11/30,0.694,E
02HC027,1,1966/12/01,0.442,E
02HC027,1,1966/12/02,0.297,E
02HC027,1,1966/12/03,0.249,E
02HC027,1,1966/12/04,0.193,E
02HC027,1,1966/12/05,0.280,E
02HC027,1,1966/12/06,0.963,E
02HC027,1,1966/12/07,3.34,E
02HC027,1,1966/12/08,2.15,E
02HC027,1,1966/12/09,0.963,E
02HC027,1,1966/12/10,5.86,E
02HC027,1,1966/12/11,2.18,E
02HC027,1,1966/12/12,0.736,E
02HC027,1,1966/12/13,0.530,E
02HC027,1,1966/12/14,0.430,E
02HC027,1,1966/12/15,0.371,E
02HC027,1,1966/12/16,0.408,E
02HC027,1,1966/12/17,0.408,E
02HC027,1,1966/12/18,0.408,E
02HC027,1,1966/12/19,0.334,E
02HC027,1,1966/12/20,0.323,E
02HC027,1,1966/12/21,0.289,E
02HC027,1,1966/12/22,0.258,E
02HC027,1,1966/12/23,0.244,E
02HC027,1,1966/12/24,0.210,E
02HC027,1,1966/12/25,0.201,E
02HC027,1,1966/12/26,0.195,E
02HC027,1,1966/12/27,0.178,E
02HC027,1,1966/12/28,0.238,B
02HC027,1,1966/12/29,0.261,B
02HC027,1,1966/12/30,0.238,B
02HC027,1,1966/12/31,0.221,B
02HC027,1,1967/01/01,0.221,B
02HC027,1,1967/01/02,0.229,B
02HC027,1,1967/01/03,0.241,B
02HC027,1,1967/01/04,0.252,B
02HC027,1,1967/01/05,0.241,B
02HC027,1,1967/01/06,0.235,B
02HC027,1,1967/01/07,0.326,B
02HC027,1,1967/01/08,0.266,B
02HC027,1,1967/01/09,0.238,B
02HC027,1,1967/01/10,0.227,B
02HC027,1,1967/01/11,0.221,B
02HC027,1,1967/01/12,0.235,B
02HC027,1,1967/01/13,0.255,B
02HC027,1,1967/01/14,0.272,B
02HC027,1,1967/01/15,0.238,B
02HC027,1,1967/01/16,0.221,B
02HC027,1,1967/01/17,0.221,B
02HC027,1,1967/01/18,0.232,B
02HC027,1,1967/01/19,0.210,B
02HC027,1,1967/01/20,0.212,B
02HC027,1,1967/01/21,0.238,B
02HC027,1,1967/01/22,0.229,B
02HC027,1,1967/01/23,1.53,B
02HC027,1,1967/01/24,1.20,
02HC027,1,1967/01/25,1.39,
02HC027,1,1967/01/26,0.920,
02HC027,1,1967/01/27,0.479,
02HC027,1,1967/01/28,0.510,B
02HC027,1,1967/01/29,0.297,B
02HC027,1,1967/01/30,0.311,B
02HC027,1,1967/01/31,0.278,B
02HC027,1,1967/02/01,0.368,B
02HC027,1,1967/02/02,0.391,B
02HC027,1,1967/02/03,0.323,B
02HC027,1,1967/02/04,0.292,B
02HC027,1,1967/02/05,0.278,B
02HC027,1,1967/02/06,0.255,B
02HC027,1,1967/02/07,0.368,B
02HC027,1,1967/02/08,0.294,B
02HC027,1,1967/02/09,0.289,B
02HC027,1,1967/02/10,0.303,B
02HC027,1,1967/02/11,0.311,B
02HC027,1,1967/02/12,0.184,B
02HC027,1,1967/02/13,0.229,B
02HC027,1,1967/02/14,0.238,B
02HC027,1,1967/02/15,0.453,B
02HC027,1,1967/02/16,1.49,
02HC027,1,1967/02/17,0.379,
02HC027,1,1967/02/18,0.311,
02HC027,1,1967/02/19,0.258,
02HC027,1,1967/02/20,0.266,B
02HC027,1,1967/02/21,0.278,B
02HC027,1,1967/02/22,0.297,B
02HC027,1,1967/02/23,0.311,B
02HC027,1,1967/02/24,0.261,B
02HC027,1,1967/02/25,0.244,B
02HC027,1,1967/02/26,0.261,B
02HC027,1,1967/02/27,0.289,B
02HC027,1,1967/02/28,0.275,B
02HC027,1,1967/03/01,0.255,B
02HC027,1,1967/03/02,0.283,B
02HC027,1,1967/03/03,0.920,
02HC027,1,1967/03/04,0.617,
02HC027,1,1967/03/05,0.326,
02HC027,1,1967/03/06,0.362,
02HC027,1,1967/03/07,0.515,
