Neighbourhood,Median Income Before Tax
Toronto,97000
Agincourt North,89000
Agincourt South-Malvern West,89000
Malvern East,89000
Malvern West,89000
Alderwood,106000
Banbury-Don Mills,102000
York Mills,102000
Bathurst Manor,92000
Bay-Cloverhill,62800
Yonge-Bay Corridor,62800
Bayview Village,83000
Bayview Woods-Steeles,89000
Hillcrest Village,89000
Bedford Park-Nortown,135000
Beechborough-Greenbrook,62400
Bendale South,79500
Bendale-Glen Andrew,79500
Birchcliffe-Cliffside,90000
Black Creek,70500
Briar Hill-Belgravia,81000
Broadview North,68500
Brookhaven-Amesbury,73000
Cabbagetown-South St. James Town,76500
Caledonia-Fairbank,87000
Casa Loma,103000
Church-Wellesley,64500
Downtown Yonge East,64500
Clairlea-Birchmount,90000
Clanton Park,88000
Cliffcrest,92000
Danforth Village-East York,101000
Don Valley Village,85000
Pleasant View,85000
Dorset Park,79000
Dovercourt Village,86000
Junction-Wallace Emerson,86000
Junction,86000
Downsview,77000
Oakdale-Beverly Heights,77000
Dufferin Grove,83000
Little Portugal,83000
East End-Danforth,90000
Edenbridge-Humber Valley,100000
Eglinton East,73500
Elms-Old Rexdale,82000
Englemount-Lawrence,78000
Eringate-Centennial-West Deane,108000
Etobicoke West Mall,90000
Flemingdon Park,70000
Forest Hill North,90000
Forest Hill South,141000
Guildwood,102000
Henry Farm,79500
High Park North,92000
Junction,92000
High Park-Swansea,101000
Humber Heights-Westmount,85000
Humewood-Cedarvale,80000
Ionview,74500
Islington,87000
Islington,97000
Keelesdale-Eglinton West,77000
Kennedy Park,69000
Kensington-Chinatown,62000
Kingsview Village-The Westway,79000
Kingsway South,184000
Lambton Baby Point,113000
East L'Amoreaux,79000
West L'Amoreaux,79000
Steeles,79000
Milliken,79000
Lansing-Westgate,98000
Lawrence Park North,168000
Lawrence Park South,162000
Leaside-Bennington,148000
Little Italy,90000
Trinity-Bellwoods,90000
Long Branch,83000
Maple Leaf,82000
Humber Bay Shores,85000
Mimico-Queensway,85000
Morningside Heights,76500
Moss Park,65500
Regent Park,65500
Mount Dennis,70500
Mount Olive-Silverstone-Jamestown,78500
Thistletown,78500
Mount Pleasant East,110000
North Toronto,75500
South Eglinton-Davisville,75500
New Toronto,68500
North St. James Town,59200
Oakridge,60000
Oakwood-Vaughan,77000
O'Connor-Parkview,77000
Old East York,96000
Fenside-Parkwoods,84000
Parkwoods-O'Connor Hills,84000
Playter Estates-Danforth,92000
Princess-Rosethorn,162000
Rexdale-Kipling,77000
North Riverdale,100000
South Riverdale,100000
Rockcliffe-Smythe,69000
Roncesvalles,88000
Rosedale,128000
Morningside,119000
Rouge,119000
Rustic,74500
Pelmo Park,74500
Humberlea,74500
Scarborough Village,71500
South Parkdale,81000
St. Andrew-Windfields,118000
Stonegate-Queensway,104000
Tam O'Shanter-Sullivan,76500
The Beaches,116000
Thorncliffe Park,67000
University,84000
Annex,84000
Victoria Village,68000
Harbourfront-CityPlace,89000
St Lawrence-East Bayfront The Islands,89000
Wellington Place,89000
West Hill,76000
West Humber-Clairville,92000
Westminster-Branson,76000
Weston,64500
Weston-Pelham Park,64500
Wexford-Maryvale,82000
Avondale,81000
Willowdale East,81000
Yonge-Doris,81000
Newtonbrook East,81000
Willowdale West,78000
Newtonbrook West,78000
Willowridge-Martingrove-Richview,92000
Golfdale-Cedarbrae-Woburn,78500
Woburn North,78500
Woodbine Corridor,95000
Greenwood-Coxwell,95000
Woodbine-Lumsden,96000
Wychwood,86000
Yonge-Eglinton,94000
Yonge-St. Clair,94000
