start_date,end_date,duration,total_precipitation,average_intensity,year
2006-11-30,2006-12-01,2,51.2,25.6,2006
2007-07-19,2007-07-19,1,61.1,61.1,2007
2008-07-08,2008-07-08,1,52.1,52.1,2008
2009-07-25,2009-07-26,2,61.199999999999996,30.599999999999998,2009
2010-08-21,2010-08-22,2,61.599999999999994,30.799999999999997,2010
2013-05-28,2013-05-29,2,53.099999999999994,26.549999999999997,2013
2013-07-07,2013-07-08,2,135.3,67.65,2013
2013-08-26,2013-08-27,2,60.0,30.0,2013
2015-10-28,2015-10-28,1,58.3,58.3,2015
2017-05-04,2017-05-05,2,51.8,25.9,2017
2017-05-25,2017-05-25,1,52.9,52.9,2017
2018-04-14,2018-04-16,3,89.3,29.766666666666666,2018
2018-08-06,2018-08-08,3,91.0,30.333333333333332,2018
2020-01-11,2020-01-12,2,68.1,34.05,2020
2020-08-02,2020-08-04,3,74.9,24.96666666666667,2020
2023-06-12,2023-06-12,1,50.1,50.1,2023
2024-04-03,2024-04-03,1,56.6,56.6,2024
2024-07-15,2024-07-16,2,113.5,56.75,2024
