year,total_precipitation,precip_change,change_label
2002,337.4,,Decrease
2003,763.5,126.28927089508002,Increase
2004,640.8,-16.070726915520638,Decrease
2005,706.1,10.190387016229717,Increase
2006,957.1,35.547372893357874,Increase
2007,597.25,-37.597952147111066,Decrease
2008,969.75,62.36919213059857,Increase
2009,886.9,-8.543439030678012,Decrease
2010,746.95,-15.77968203856127,Decrease
2011,917.0,22.76591471986076,Increase
2012,851.65,-7.126499454743729,Decrease
2013,1096.05,28.697234779545578,Increase
2014,713.3,-34.920852150905525,Decrease
2015,677.15,-5.067993831487449,Decrease
2016,591.7,-12.61906519973417,Decrease
2017,810.35,36.95284772688863,Increase
2018,924.0,14.024804096995114,Increase
2019,920.05,-0.427489177489182,Decrease
2020,816.9,-11.211347209390787,Decrease
2021,752.75,-7.852858366997184,Decrease
2022,732.85,-2.6436399867153737,Decrease
2023,838.7,14.443610561506448,Increase
2024,864.7,3.1000357696435055,Increase
