OBJECTID,FloodPlainSource,Watershed,Shape__Area,Shape__Length
3394,Engineered,Don River,0.94091796875,3.80356896908335
3395,Engineered,Don River,869.856689453125,149.201240400073
3396,Engineered,Don River,23187.9104003906,1321.22670297059
3397,Engineered,Don River,10895.6130371094,522.001575399683
3406,Engineered,Humber River,0.544921875,5.6057087490918
3407,Engineered,Humber River,0.089599609375,2.73269043648208
3457,Engineered,Humber River,2001967.70361328,28590.0414144938
3571,Engineered,Humber River,636580.793212891,12759.864924998
3605,Engineered,Duffins Creek,781.2783203125,279.176640895935
3768,Engineered,Duffins Creek,123255.693847656,4007.26424042784
3769,Engineered,Duffins Creek,13802.9494628906,895.581943090282
3770,Engineered,Duffins Creek,1153.40795898438,170.433602360972
3775,Engineered,Etobicoke Creek,191752.958251953,2919.34113723925
3776,Engineered,Etobicoke Creek,487.99951171875,133.352768270669
3777,Engineered,Etobicoke Creek,306260.017578125,5080.47065000852
3778,Engineered,Etobicoke Creek,138069.5,2170.45519470615
3779,Engineered,Etobicoke Creek,87889.7609863281,2799.65679962744
3780,Engineered,Etobicoke Creek,39559.9089355469,1416.24770163582
3781,Engineered,Etobicoke Creek,47940.6860351562,1439.55524858369
3782,Engineered,Etobicoke Creek,641723.472412109,8655.80396276532
3783,Engineered,Etobicoke Creek,56881.0598144531,2705.76863257512
3784,Engineered,Etobicoke Creek,128218.917480469,2515.96836777471
3785,Engineered,Etobicoke Creek,98598.69921875,1784.0463786125
3786,Engineered,Etobicoke Creek,716.753662109375,142.375108458341
3787,Engineered,Etobicoke Creek,77934.7912597656,4468.46366514883
3788,Engineered,Etobicoke Creek,30120.7868652344,737.653798499206
3789,Engineered,Etobicoke Creek,283851.135498047,4147.06958341894
3790,Engineered,Etobicoke Creek,426.806640625,111.831852554142
3791,Engineered,Etobicoke Creek,5838.80249023438,390.083606115135
3792,Engineered,Etobicoke Creek,1309.92016601562,172.477756447456
3793,Engineered,Etobicoke Creek,132678.407958984,2785.11847102527
3794,Engineered,Etobicoke Creek,1275.15380859375,172.297343299974
3795,Engineered,Etobicoke Creek,943.8583984375,161.038778354823
3796,Engineered,Etobicoke Creek,13.500244140625,17.5182383407029
3797,Engineered,Etobicoke Creek,64848.443359375,1221.19723457693
3798,Engineered,Etobicoke Creek,124986.765136719,2302.26028476609
3799,Engineered,Etobicoke Creek,722131.741699219,12389.4832488973
3800,Engineered,Etobicoke Creek,573780.775390625,10843.9519455858
3801,Engineered,Etobicoke Creek,3409.12133789062,353.850866473059
3802,Engineered,Etobicoke Creek,3234.78149414062,323.796110002029
3803,Engineered,Etobicoke Creek,5175771.53637695,77801.1439961492
3805,Engineered,Etobicoke Creek,628785.846078873,9331.20771855988
3806,Engineered,Etobicoke Creek,791849.227050781,10699.341538626
3807,Engineered,Etobicoke Creek,46805.0029296875,1288.17901283996
3808,Engineered,Etobicoke Creek,1555235.72412109,23459.1440811906
3809,Engineered,Etobicoke Creek,610244.036865234,16138.1178031105
3810,Engineered,Etobicoke Creek,98029.9597167969,2213.54902574691
3811,Engineered,Etobicoke Creek,146744.169189453,5543.99639058076
3812,Engineered,Etobicoke Creek,21361.4255371094,1294.89002724411
3813,Engineered,Etobicoke Creek,14648.9997558594,1044.50366788969
3814,Engineered,Etobicoke Creek,136.408935546875,91.4269701185542
3815,Engineered,Humber River,77241.3149414062,2439.68269742315
3818,Engineered,Etobicoke Creek,34879.2712402344,2399.79344946792
3819,Engineered,Humber River,402.910888671875,139.449361032985
3820,Engineered,Humber River,536.81201171875,93.6561714742193
3821,Engineered,Humber River,880.049560546875,116.356167830446
3822,Engineered,Humber River,301.169921875,107.370943033429
3823,Engineered,Humber River,5234.26342773438,356.184282461957
3824,Engineered,Humber River,7330.5263671875,528.616104861519
3825,Engineered,Humber River,8877.3994140625,501.58519384899
3826,Engineered,Humber River,782.81298828125,236.097739101101
3827,Engineered,Humber River,1080.28393554688,186.834298014471
3828,Engineered,Humber River,496.7412109375,139.032732740575
3829,Engineered,Humber River,217.65673828125,64.3703698569386
3830,Engineered,Humber River,121833.160400391,3024.75058074583
3831,Engineered,Etobicoke Creek,158525.465087891,5526.26042870575
3832,Engineered,Etobicoke Creek,161563.548095703,5340.43198306834
3833,Engineered,Etobicoke Creek,20309.6728515625,1290.0921448108
3834,Engineered,Etobicoke Creek,12332.673828125,691.04877728066
3835,Engineered,Etobicoke Creek,9003.0068359375,811.638313135268
3836,Engineered,Etobicoke Creek,14677.3703613281,971.140043274148
3837,Engineered,Etobicoke Creek,9990.572265625,899.654170922117
3838,Engineered,Etobicoke Creek,18503.3864746094,1556.58444350518
3839,Engineered,Etobicoke Creek,38843.4089355469,1866.71927826462
3840,Engineered,Etobicoke Creek,84.5,40.6012033748279
3841,Engineered,Etobicoke Creek,15412.0891113281,943.86480362378
3842,Engineered,Etobicoke Creek,3235.49951171875,516.213036893321
3843,Engineered,Etobicoke Creek,5018.50048828125,931.737036269965
3844,Engineered,Etobicoke Creek,1819,268.098253552004
3845,Engineered,Etobicoke Creek,38711.0400390625,2244.15345835379
3846,Engineered,Etobicoke Creek,20002.7878417969,2829.92171193732
3847,Engineered,Etobicoke Creek,52693.0988769531,3730.93542916282
3848,Engineered,Etobicoke Creek,10152.2810058594,1641.68734824351
3849,Engineered,Etobicoke Creek,26392.802734375,746.52459202939
3850,Engineered,Etobicoke Creek,29280.4157714844,2564.82869780004
3857,Engineered,Humber River,79583.6735839844,1527.42401619926
3858,Engineered,Humber River,67959.9467773438,2017.73431899223
3859,Engineered,Humber River,25075.0070800781,1782.18500279596
3860,Engineered,Humber River,50402.0407714844,1481.37526851393
3861,Engineered,Humber River,55485.8289387226,1999.33973379973
3862,Engineered,Humber River,16662.05859375,888.629725205182
3863,Engineered,Humber River,14198.5904497057,1246.71107996002
3865,Engineered,Etobicoke Creek,447020.023193359,4333.53401930284
3870,Engineered,Don River,4222.51708984375,486.564935231701
3871,Engineered,Don River,6036.95825195312,349.314751000665
3894,Engineered,Duffins Creek,6619.82006835938,547.947955790026
3895,Engineered,Duffins Creek,3302.72998046875,328.168027394323
3896,Engineered,Humber River,224386.631347656,2970.24591405164
3897,Engineered,Humber River,319818.528076172,4398.82250884811
3898,Engineered,Humber River,13741.8659667969,863.027411075004
3899,Engineered,Humber River,2266.53735351562,314.402589125573
3900,Engineered,Humber River,14405.3625488281,899.110490635128
3901,Engineered,Humber River,46566.1125488281,2207.81718021714
3902,Engineered,Humber River,12535.6674804688,824.12784917317
3903,Engineered,Humber River,29764.1975097656,1517.69657436756
3904,Engineered,Humber River,56005.7316894531,2553.06685231909
3905,Engineered,Humber River,47007.1171875,1422.7607553786
3906,Engineered,Humber River,28669.5834960938,1237.31192448725
3907,Engineered,Humber River,82430.8100585938,3045.42499595563
3908,Engineered,Humber River,26524.4594726562,835.723147574981
3909,Engineered,Humber River,84048.2419433594,2812.42856628697
3910,Engineered,Humber River,36964.9870605469,1333.19322607319
3911,Engineered,Humber River,41424.296875,1492.83280674377
3912,Engineered,Humber River,73478.1750488281,2613.51131392082
3913,Engineered,Humber River,45317.3112792969,1343.09445164588
3914,Engineered,Humber River,1386844.63598633,37516.1314375857
3915,Engineered,Humber River,2142702.92333984,32207.7821443078
3916,Engineered,Humber River,1201370.17895508,23835.9144589346
3917,Engineered,Humber River,8218.77954101562,759.674726421414
3918,Engineered,Humber River,20550.9987792969,1531.37493952739
3919,Engineered,Humber River,125587.180908203,3399.28710905636
3920,Engineered,Humber River,75486.9372558594,3880.92694705541
3921,Engineered,Humber River,67164.7890625,1853.52995829234
3922,Engineered,Humber River,15342.4858398438,1132.39136353858
3923,Engineered,Humber River,9659.05419921875,1098.78563228198
3924,Engineered,Humber River,47551.8718261719,1466.06502484748
3925,Engineered,Humber River,43939.4128417969,2438.20538154073
3926,Engineered,Humber River,39826.0456542969,1274.09362451108
3927,Engineered,Humber River,144056.506835938,3565.44819833054
3928,Engineered,Humber River,602385.010986328,16515.7660732057
3929,Engineered,Humber River,3136385.36181641,113507.32277585
3930,Engineered,Humber River,462028.194335938,7188.60693174269
3931,Engineered,Humber River,209277.486083984,6738.49482840829
3932,Engineered,Humber River,166297.791992188,3744.00784158058
3933,Engineered,Humber River,85526.5563964844,2529.36502645576
3934,Engineered,Humber River,82401.3815917969,2063.75658677407
3935,Engineered,Humber River,382572.342773438,22514.3100997027
3936,Engineered,Humber River,166797.583007812,8821.21019536524
3937,Engineered,Humber River,2047555.74652621,87664.1958462084
3938,Engineered,Humber River,40722.2373046875,4011.49325884888
3939,Engineered,Humber River,2332500.44946289,61310.0955165407
3940,Engineered,Humber River,1384872.61352539,68688.8556414037
3941,Engineered,Humber River,1054278.83105469,47143.7991139858
3942,Engineered,Humber River,856572.291290283,30969.7032637024
3944,Engineered,Humber River,2857650.33300781,92089.6347856916
3945,Engineered,Humber River,2855835.21704102,89104.6509071242
3946,Engineered,Humber River,459234.048339844,28008.6079915473
3947,Engineered,Humber River,1015158.33959961,61490.7233092632
3949,Engineered,Humber River,1791450.12255859,31891.7247673449
3950,Engineered,Humber River,3884284.90551758,88339.8874913591
3951,Engineered,Humber River,2903.78442382812,370.387179314471
3953,Engineered,Humber River,8648.44902037829,726.458568261453
3954,Engineered,Humber River,15098.5034368038,1279.64027077598
3955,Engineered,Humber River,12584.9812011719,1242.34607067621
3956,Estimated,Etobicoke Creek,0.40869140625,3.86836665752671
3957,Estimated,Etobicoke Creek,33597.2822265625,2275.6185930412
3958,Estimated,Etobicoke Creek,683.9990234375,344
3959,Estimated,Etobicoke Creek,1.59326171875,12.9047323056515
3960,Estimated,Etobicoke Creek,0.015625,0.600427630621525
3961,Estimated,Etobicoke Creek,584.98779296875,359.109745242201
3962,Estimated,Etobicoke Creek,31384.0043945312,2440
3963,Estimated,Etobicoke Creek,29576.7998046875,2036.16818862256
3964,Estimated,Etobicoke Creek,103547.38671875,5710.08343670337
3965,Estimated,Etobicoke Creek,0.11083984375,1.65398695686176
3966,Estimated,Etobicoke Creek,0.82861328125,4.52307775112689
3967,Estimated,Etobicoke Creek,0.23291015625,2.33088359984358
3968,Estimated,Etobicoke Creek,1.788818359375,6.2334808537472
3969,Estimated,Etobicoke Creek,1.97412109375,6.89478199041453
3970,Estimated,Etobicoke Creek,0.674072265625,9.86407537418109
3971,Estimated,Etobicoke Creek,19.54150390625,31.9082873417638
3972,Estimated,Etobicoke Creek,14003.1315917969,2730.47411075664
3973,Estimated,Don River,163270.893798828,7146.12699920992
3974,Estimated,Don River,15551.4084472656,1691.64048091775
3977,Estimated,Humber River,2051.9990234375,356
3978,Estimated,Humber River,19872.001953125,1504
